City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Obo,CF,2022-11-09 00:41:54,5.3998,26.4869,66.88,93,99,2.82
68,Grand Gaube,MU,2022-11-09 00:41:54,-20.0064,57.6608,73.8,75,75,1.99
69,Ilulissat,GL,2022-11-09 00:41:55,69.2167,-51.1,-12.78,79,7,7.63
70,Upernavik,GL,2022-11-09 00:41:55,72.7868,-56.1549,4.71,65,41,6.76
71,Souillac,MU,2022-11-09 00:41:55,-20.5167,57.5167,73.78,78,40,6.91
72,Taoudenni,ML,2022-11-09 00:41:56,22.6783,-3.9836,73.83,14,54,9.93
73,Neath,GB,2022-11-09 00:41:56,51.6632,-3.8044,54.86,83,97,17.36
74,East London,ZA,2022-11-09 00:41:56,-33.0153,27.9116,63.99,88,11,2.71
75,Sheridan,US,2022-11-09 00:41:57,44.8333,-106.9173,17.98,79,100,14.97
76,Cockburn Town,TC,2022-11-09 00:41:57,21.4612,-71.1419,81.72,72,3,12.93
77,Krasnoselkup,RU,2022-11-09 00:41:57,65.7,82.4667,16.25,96,100,7.83
78,Avarua,CK,2022-11-09 00:41:58,-21.2078,-159.775,75.25,69,75,12.66
79,Kapaa,US,2022-11-09 00:41:58,22.0752,-159.319,82.72,72,20,14.97
80,Havre-Saint-Pierre,CA,2022-11-09 00:41:58,50.2334,-63.5986,37.76,52,100,14.97
81,Shelburne,CA,2022-11-09 00:41:59,44.0787,-80.2041,37.76,74,79,6.55
82,Bahia Blanca,AR,2022-11-09 00:41:59,-38.7196,-62.2724,77.65,19,100,15.21
83,Behbahan,IR,2022-11-09 00:42:00,30.5959,50.2417,70.59,38,0,5.46
84,Chesma,RU,2022-11-09 00:42:00,53.8111,60.6533,21.47,91,100,5.97
85,Sistranda,NO,2022-11-09 00:42:00,63.7256,8.834,44.56,72,100,2.71
86,Kindu,CD,2022-11-09 00:42:00,-2.95,25.95,68.32,100,100,1.79
87,Arani,IN,2022-11-09 00:42:01,12.6667,79.2833,70.5,86,96,5.5
88,Santa Marta,CO,2022-11-09 00:41:50,11.2408,-74.199,82.89,80,40,3.44
89,Butaritari,KI,2022-11-09 00:42:01,3.0707,172.7902,80.87,77,29,10.89
90,Tonantins,BR,2022-11-09 00:42:02,-2.8731,-67.8022,74.7,90,31,1.61
91,Barrow,US,2022-11-09 00:43:02,71.2906,-156.7887,26.62,86,0,21.85
92,Pisco,PE,2022-11-09 00:43:03,-13.7,-76.2167,64.45,77,2,11.5
93,Petropavlovsk-Kamchatskiy,RU,2022-11-09 00:43:03,53.0452,158.6483,32.59,60,40,4.47
94,Saint-Philippe,RE,2022-11-09 00:43:04,-21.3585,55.7679,69.39,78,41,5.61
95,Waddan,LY,2022-11-09 00:43:04,29.1614,16.139,61.27,76,0,4.43
96,Hasaki,JP,2022-11-09 00:43:05,35.7333,140.8333,59.4,47,91,5.79
97,Luganville,VU,2022-11-09 00:43:05,-15.5333,167.1667,84.6,72,30,3.76
98,Kaitangata,NZ,2022-11-09 00:43:05,-46.2817,169.8464,61.05,62,100,11.68
99,Japura,ID,2022-11-09 00:43:06,-0.3167,102.35,74.68,96,100,1.86
100,Eseka,CM,2022-11-09 00:43:06,3.65,10.7667,73.36,99,93,1.59
101,Denizli,TR,2022-11-09 00:43:06,37.8402,29.0698,50.79,57,48,2.64
102,Cayenne,GF,2022-11-09 00:43:07,4.9333,-52.3333,75.24,94,0,1.14
103,Batagay,RU,2022-11-09 00:43:07,67.6333,134.6333,-17.28,97,94,4.5
104,Ancud,CL,2022-11-09 00:43:08,-41.8697,-73.8203,52.97,96,24,2.35
105,Ponferrada,ES,2022-11-09 00:41:00,42.5466,-6.5962,53.22,98,100,1.99
106,Ulaangom,MN,2022-11-09 00:43:08,49.9811,92.0667,28.42,75,100,1.92
107,Fallon,US,2022-11-09 00:41:15,39.4735,-118.7774,33.67,93,100,8.05
108,Korla,CN,2022-11-09 00:43:09,41.7597,86.1469,46.08,46,100,12.35
109,Aykhal,RU,2022-11-09 00:43:09,66.0,111.5,-5.55,100,99,5.3
110,Ust-Ilimsk,RU,2022-11-09 00:43:10,58.0006,102.6619,11.84,98,85,4.36
111,Qaqortoq,GL,2022-11-09 00:43:10,60.7167,-46.0333,19.87,71,5,6.93
112,Chokurdakh,RU,2022-11-09 00:43:10,70.6333,147.9167,-3.66,99,94,8.52
113,Portree,GB,2022-11-09 00:43:11,57.4129,-6.1942,47.52,93,100,14.65
114,Lorengau,PG,2022-11-09 00:43:11,-2.0226,147.2712,83.12,76,100,4.65
115,Avera,US,2022-11-09 00:38:39,33.194,-82.5271,60.91,28,41,12.55
116,Potosi,BO,2022-11-09 00:43:12,-19.5836,-65.7531,42.03,75,57,7.81
117,Cervia,IT,2022-11-09 00:43:12,44.2657,12.3427,60.93,93,0,4.61
118,Khandyga,RU,2022-11-09 00:43:12,62.6667,135.6,-22.97,90,6,1.14
119,Gisborne,NZ,2022-11-09 00:43:13,-38.6533,178.0042,60.3,98,100,7.34
120,Bonthe,SL,2022-11-09 00:43:13,7.5264,-12.505,78.51,82,75,4.21
121,Benguela,AO,2022-11-09 00:43:13,-12.5763,13.4055,73.9,79,58,3.29
122,Adrar,MR,2022-11-09 00:43:14,20.5022,-10.0711,75.54,17,100,9.86
123,Pitsunda,GE,2022-11-09 00:43:14,43.1592,40.3378,51.98,55,99,8.25
124,Mar Del Plata,AR,2022-11-09 00:40:48,-38.0023,-57.5575,65.08,83,0,27.0
125,Lubango,AO,2022-11-09 00:43:15,-14.9172,13.4925,59.29,51,3,3.98
126,Port Alfred,ZA,2022-11-09 00:43:15,-33.5906,26.891,64.18,95,100,1.01
127,Praia Da Vitoria,PT,2022-11-09 00:43:15,38.7333,-27.0667,66.45,77,75,8.97
128,College,US,2022-11-09 00:43:16,64.8569,-147.8028,22.95,86,75,3.44
129,Pereslavl-Zalesskiy,RU,2022-11-09 00:43:16,56.7393,38.8563,41.76,94,100,9.64
130,Santarem,BR,2022-11-09 00:43:16,-2.4431,-54.7083,75.33,100,75,3.44
131,Lebu,CL,2022-11-09 00:43:17,-37.6167,-73.65,55.17,92,43,7.4
132,Tiksi,RU,2022-11-09 00:43:17,71.6872,128.8694,-10.17,97,100,9.19
133,Bandarbeyla,SO,2022-11-09 00:43:18,9.4942,50.8122,78.35,83,8,6.38
134,Constitucion,CL,2022-11-09 00:43:18,-35.3333,-72.4167,53.92,95,100,5.57
